Condition,message_id,user id,nickname,create_time,comment_text,up_count,down_count,reply_count,Default condition,Signal I- condition1 (Strict),Signal I- condition2 (Loose),Signal II- condition1 (Strict),Signal II- condition2 (Loose)
All neutral,3015,L2IWGLJQBULP3WHUFQ4LYODD7A,Mike,1/9/18 05:27,"Sessions is wrong here as they reference the interstate clause.  No state exports pot to another state, it is grown and sold within state lines.  If they exported it to other states he is correct.  This is a 10th amendment issue, not a federal issue as no state lines are crossed here.  The people of each state passed this and it is not a federal jurisdiction issue.  Congress has no jurisdiction here either as they never passed anything, it was Nixon executive order on the war on drugs.  Congress can pass all the laws they want but it has no effect within the states.  Its a 10th amendment issue, not a federal issue.",0,0,0,,,,,
All neutral,3016,L6CZDVQMNX5NNYI2VV4DDUTJNM,Rob,1/8/18 03:36,"""We know objectively that blacks and whites have no difference in marijuana usage or selling, but blacks are about 3.7 times more likely to be arrested for it.""
that's bc blacks are stopped for crimes like loitering, and general shady behavior much more in cities, which leads to cops talking to them, drinking them etc..blacks just have more interaction with police thereby more weed arrests. and if stating the use is the ""same"" as whites, that would mean much higher bc they are less of pop.
why can't ppl just say blk guys get arrested for weed more bc they smoke more weed? there has never been any proven racial bias in justice system. it has been looked into many times, and yes, even by black men.",0,0,0,,FLAGED by bot,,Malicious Score Given by bot: 62,
All neutral,3017,4JOUO2FRM5ATUNBFCFMNW2XC6A,David,1/8/18 02:03,It is up to Congress to change the law and is not at the whim of a President to sign an executive order changing the law.  What Obama did was illegal in not upholding the CURRENT laws of the United States.  If you don't like a law you don't have your Attorney General or DOJ stop enforcing the law.  Congress will need to lead in this case and Senator Booker why don't you lead instead of attacking from the sidelines.,0,0,0,,,,,
All neutral,3018,ALFYVBY6ZKNWETDQQFTTYGCJBY,Rockman4418,1/7/18 13:09,"While the Mid-Terms will be Fun to Watch.

The Possibility that now that there are 8 States who have decided to refute the Federal Governments Legal Decrees concerning the Sale of Marijuana are relevant. There is a chance that the U.S. Federal Government may be Forced to Reclassify Marijuana Drugs throughout the Country. Which would also mean that all Marijuana Convictions would have to be expunged and citizens persecuted would have the opportunity to so their local Justice Departments for Criminal Discrimination.",0,0,0,,,,,
Combination,1102,Q7NUDIJBVGJSYXUMDUP27FYEXM,Joe,1/7/18 07:13,"It is not up to Sessions to pick and chose the laws that he enforces. Booker, you are in a better position than Sessions if you don't like the law. Don't throw shade on him for doing his job, do yours. Change the law.... Stupid.",0,0,0,,FLAGED by bot,,Malicious Score Given by bot: 74,
Combination,1104,5R4ZPB6UJI4ISSR64D4UIIPDUY,Jackson,1/8/18 13:09,"""Dope"" Booker, Pot is a gateway drug. I support the possum on this one.",1,1,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 90,Malicious Score Given by bot: 90
Combination,3101,IHMZ5XPUU4Q2ZZ5FCJ7KE6XQ3A,R,1/9/18 06:07,When will these elected people ever understand there is no wrong side of history there is only history.,1,1,1,,FLAGED by bot,,Malicious Score Given by bot: 72,
Combination,2102,4EPU2PW4JKDZGTAPF4TL32AHUA,judipatt57,1/8/18 21:36,And the black Booker's obsession to have it on the streets of America says a lot about him. I am curious if he was one of those tokers that made it through college on the tax payers dime like Obama did with no thought about the morals and decency of this country.,0,3,2,,FLAGED by bot,,Malicious Score Given by bot: 77,
Combination,2104,LJE7CLO6DIAAVG2OPYH52ALBA4,GuvGeek,1/13/18 18:12,"Cory, Sessions may be on the wrong side of History, but you're on the wrong side  of  the Law.   So Cory, if you want to smoke dope, get off your Black Butt and change the law.",1,1,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 82,Malicious Score Given by bot: 82
Combination,2106,AZPJLZXC37FRBB6YAIYSLRUTZ4,Melle,1/19/18 20:22,"Dear Cory; Civics 101....the Attorney General is supposed to uphold the laws, not create new ones....that's YOUR job.  What have you been doing all this time in Washington, DC?",1,0,0,,FLAGED by bot,,Malicious Score Given by bot: 73,
Combination,2107,F3PJEC6QPKY5XP74DG476USDNA,Oly,1/7/18 21:31,"Sessions is a dinosaur who should have retired years ago.  This is not the 1940s or 50s.  He cannot change the law by himself.  Does anything good or useful to our country ever come out of the mouths of Trump, Sessions, Ryan, or McConnell?",1,0,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 84,Malicious Score Given by bot: 84
